ts_code,ann_date,end_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
600425.SH,2019-08-30,2019-06-30,0.6736,0.5367,0.41,1.5896,5.5766,0.6333,18.9022,36.6858,2.4666,51.5524,331.6218,574.1959,6.0638,37.3036,37.3036,30.3128,527.0321,30.3128,527.0321,84.7224,380.7757,155.5513,446.2572,1308612589.21
002425.SZ,2019-08-28,2019-06-30,1.6762,1.5736,1.2837,1.5928,0.7954,0.4346,41.7359,73.5567,4.5264,19.6979,32.8734,33.5189,5.2789,45.0735,45.0735,13.2094,-33.4016,13.2094,-33.4016,-14.5734,-40.0838,7.7957,-45.7508,432417419.65
002165.SZ,2019-08-23,2019-06-30,0.923,0.7816,0.6406,3.6165,3.9322,0.7501,3.2225,19.6259,2.5869,59.9084,396.1992,372.0899,4.5114,-2.3428,-2.3428,-2.4749,3.4695,-2.4749,3.4695,172.5876,-17.2767,172.1408,-10.9424,1225227078.37
300452.SZ,2019-08-24,2019-06-30,2.9810000000000003,2.6732,1.6851,4.0875,5.0689,0.6601,19.4161,36.6238,8.2501,19.3087,14.5539,12.5374,-0.5801,4.1265,4.1265,1.9194,-6.917999999999998,1.9194,-6.917999999999998,13.8271,6.4110000000000005,18.8008,11.9443,222717725.15
603895.SH,2019-08-28,2019-06-30,2.129,1.5407,1.2511,0.7015,0.9287,0.2773,7.1399,24.8224,3.2213,43.0199,-53.7337,-53.4624,2.4319,0.2853,0.2853,7.4794,83.3258,7.4794,83.3258,-73.4165,-33.0782,-67.5952,-16.3125,286719230.97
002541.SZ,2019-08-28,2019-06-30,1.1872,0.5577,0.5011,1.0733,2.9059,0.6543,3.5493,12.3037,3.7811,61.8815,18.0482,-3.4676,14.5097,52.9013,52.9013,31.8981,24.0094,31.8981,24.0094,20.9541,-0.3114,-7.404,49.8607,4778975208.36
600278.SH,2019-08-24,2019-06-30,1.5177,1.2806,0.9954,12.09,10.102,1.6502,1.2,5.3039999999999985,1.6099,48.8593,13.8546,12.8033,4.8146,4.0747,4.0747,2.1815,-19.626,2.1815,-19.626,-202.6617,-123.7479,-191.188,-119.7366,8779245609.41
002476.SZ,2019-08-27,2019-06-30,5.0104,4.2792,4.064,2.1892,4.1444,0.3713,1.7156,13.7422,0.5876,28.3987,129.3068,129.2402,-4.2428,41.1463,41.1463,6.807,-12.6266,6.807,-12.6266,131.9216,-38.0535,111.1998,-79.4791,246615014.86
601918.SH,2019-08-24,2019-06-30,0.2278,0.2037,0.1892,10.0585,9.3491,2.1284,17.9093,41.0737,12.9454,77.3083,-11.6637,-9.1124,1.6771,0.8799,0.8799,0.7143,1.2984,0.7143,1.2984,-27.9331,-18.0693,-16.814,-19.7105,4602120979.81
002414.SZ,2019-08-27,2019-06-30,4.8003,3.0954,2.7768,0.3783,0.867,0.2613,22.4262,54.3692,4.3514,15.0036,30.5482,29.1765,-6.4844,101.2569,101.2569,167.7446,176.4623,167.7446,176.4623,27.7554,1658.4678,41.9424,2303.0881,666445729.56
