,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
53,000063.SZ,20190603,29.3,31.19,28.96,30.29,28.76,1.5299999999999976,5.3199,1894903.11,5682254.398
54,000063.SZ,20190531,28.41,29.15,28.29,28.76,28.38,0.38000000000000256,1.339,746412.99,2150445.094
55,000063.SZ,20190530,28.9,28.97,27.95,28.38,29.16,-0.7800000000000011,-2.6749,859556.53,2435191.583
56,000063.SZ,20190529,28.9,29.58,28.81,29.16,29.3,-0.14000000000000057,-0.4778,619180.74,1814208.747
57,000063.SZ,20190528,29.5,29.57,28.95,29.3,29.29,0.010000000000001563,0.0341,786025.73,2301643.586
58,000063.SZ,20190527,28.27,29.59,28.02,29.29,28.25,1.0399999999999991,3.6814,1118500.48,3237514.227
59,000063.SZ,20190524,28.05,28.58,28.0,28.25,28.24,0.010000000000001563,0.0354,574920.06,1624037.593
60,000063.SZ,20190523,29.18,29.18,28.13,28.24,29.48,-1.240000000000002,-4.2062,1018689.4,2902048.635
61,000063.SZ,20190522,29.23,30.55,28.88,29.48,29.2,0.28000000000000114,0.9589,1470854.02,4380299.003
62,000063.SZ,20190521,28.0,29.83,27.65,29.2,27.9,1.3000000000000007,4.6595,1530663.66,4432717.077
63,000063.SZ,20190520,28.46,28.63,26.5,27.9,28.5,-0.6000000000000014,-2.1053,1312073.54,3613402.33
64,000063.SZ,20190517,29.5,30.21,28.0,28.5,29.62,-1.120000000000001,-3.7812,1293069.65,3751946.99
65,000063.SZ,20190516,30.0,30.13,29.0,29.62,30.51,-0.8900000000000006,-2.9171,1285610.09,3801524.645
66,000063.SZ,20190515,30.58,30.72,30.08,30.51,29.95,0.5600000000000023,1.8698,1100000.29,3351368.828
67,000063.SZ,20190514,29.7,30.69,29.61,29.95,30.21,-0.26000000000000156,-0.8606,1045375.82,3146657.207
68,000063.SZ,20190513,30.02,30.79,29.85,30.21,30.88,-0.6699999999999982,-2.1697,1078269.28,3261321.161
69,000063.SZ,20190510,29.15,31.0,28.0,30.88,28.3,2.5799999999999983,9.1166,1846948.04,5498287.755
70,000063.SZ,20190509,28.54,29.36,28.18,28.3,28.89,-0.5899999999999999,-2.0422,878925.18,2527679.175
71,000063.SZ,20190508,27.91,29.77,27.8,28.89,29.01,-0.120000000000001,-0.4137,1201768.42,3484402.811
72,000063.SZ,20190507,29.2,29.7,27.41,29.01,28.94,0.07000000000000028,0.2419,1511928.33,4342408.523
73,000063.SZ,20190506,29.3,30.69,28.94,28.94,32.15,-3.2099999999999973,-9.9844,1507203.72,4457147.071
74,000063.SZ,20190430,32.1,32.44,30.5,32.15,33.85,-1.7000000000000028,-5.0222,1714840.73,5458908.781
75,000063.SZ,20190429,34.2,34.45,32.99,33.85,34.17,-0.3200000000000003,-0.9365,1164960.79,3928284.239
76,000063.SZ,20190426,33.01,35.0,33.01,34.17,33.65,0.5200000000000031,1.5453,1251393.98,4281163.663
77,000063.SZ,20190425,34.95,35.36,33.55,33.65,35.02,-1.3700000000000045,-3.9121,1387543.0,4776505.34
78,000063.SZ,20190424,35.45,35.8,33.98,35.02,35.53,-0.509999999999998,-1.4354,1653636.7,5768980.821
79,000063.SZ,20190423,36.31,37.16,35.2,35.53,36.76,-1.2299999999999969,-3.346,1601327.02,5771173.176
80,000063.SZ,20190422,36.5,38.5,35.66,36.76,36.49,0.269999999999996,0.7399,2235859.84,8304027.612
81,000063.SZ,20190419,33.95,36.9,33.6,36.49,34.09,2.3999999999999986,7.0402,1904800.98,6709298.041
82,000063.SZ,20190418,33.5,35.62,33.3,34.09,34.08,0.010000000000005116,0.0293,1792256.82,6168612.188
83,000063.SZ,20190417,34.0,34.75,32.98,34.08,33.55,0.5300000000000011,1.5797,2310984.33,7818625.947
84,000063.SZ,20190416,30.31,33.55,30.1,33.55,30.5,3.049999999999997,10.0,2304204.37,7457506.901
85,000063.SZ,20190415,30.82,31.99,30.35,30.5,30.26,0.23999999999999844,0.7931,1048541.83,3269118.762
86,000063.SZ,20190412,30.2,31.0,30.1,30.26,30.39,-0.129999999999999,-0.4278,570955.16,1739784.012
87,000063.SZ,20190411,31.0,31.25,30.1,30.39,31.5,-1.1099999999999994,-3.5238,1072725.6,3279963.786
88,000063.SZ,20190410,30.15,32.25,29.8,31.5,30.2,1.3000000000000007,4.3046,1804568.2,5597662.634
89,000063.SZ,20190409,29.24,30.8,29.19,30.2,29.24,0.9600000000000009,3.2832,1354219.68,4101178.201
90,000063.SZ,20190408,30.05,30.25,29.1,29.24,29.98,-0.740000000000002,-2.4683,855990.96,2531008.655
91,000063.SZ,20190404,30.17,30.3,29.5,29.98,29.85,0.129999999999999,0.4355,871282.13,2604759.888
92,000063.SZ,20190403,29.81,29.96,29.33,29.85,29.9,-0.04999999999999716,-0.1672,875200.1,2589373.797
93,000063.SZ,20190402,30.01,30.4,29.49,29.9,30.0,-0.10000000000000142,-0.3333,1280241.76,3840289.196
94,000063.SZ,20190401,29.7,30.55,29.7,30.0,29.2,0.8000000000000007,2.7397,1828261.53,5522608.91
95,000063.SZ,20190329,28.5,29.34,27.66,29.2,29.34,-0.14000000000000057,-0.4772,2355035.39,6751746.118
96,000063.SZ,20190328,28.3,29.34,27.91,29.34,26.67,2.669999999999998,10.0112,2530819.06,7339752.723
97,000063.SZ,20190327,27.35,27.63,26.2,26.67,27.13,-0.4599999999999973,-1.6955,876586.64,2351069.569
98,000063.SZ,20190326,28.45,28.58,27.05,27.13,28.33,-1.1999999999999993,-4.2358,832679.26,2308121.672
99,000063.SZ,20190325,27.51,28.77,27.4,28.33,28.22,0.10999999999999943,0.3898,894689.66,2521582.213
100,000063.SZ,20190322,28.8,28.84,27.7,28.22,28.9,-0.6799999999999997,-2.3529,1036826.59,2922366.416
101,000063.SZ,20190321,29.17,29.29,28.88,28.9,28.98,-0.08000000000000185,-0.2761,699078.15,2032478.249
102,000063.SZ,20190320,28.92,29.45,28.72,28.98,29.03,-0.05000000000000071,-0.1722,642784.11,1865223.205
103,000063.SZ,20190319,29.0,29.62,28.84,29.03,29.19,-0.16000000000000014,-0.5481,798103.77,2327365.974
104,000063.SZ,20190318,28.38,29.21,27.77,29.19,28.38,0.8100000000000023,2.8541,930481.59,2667785.958
105,000063.SZ,20190315,28.55,28.83,28.24,28.38,28.25,0.129999999999999,0.4602,766498.89,2186036.621
106,000063.SZ,20190314,28.5,28.56,27.49,28.25,28.68,-0.4299999999999997,-1.4993,1242688.97,3492281.654
107,000063.SZ,20190313,29.84,30.15,28.35,28.68,31.09,-2.41,-7.7517,2286629.9,6672629.798
108,000063.SZ,20190312,30.66,31.1,30.31,31.09,30.4,0.6900000000000013,2.2697,1727617.25,5304924.988
109,000063.SZ,20190311,29.8,30.5,29.3,30.4,29.21,1.1899999999999977,4.0739,1370705.11,4115511.435
110,000063.SZ,20190308,29.1,31.01,28.88,29.21,30.4,-1.1899999999999977,-3.9145,1739426.66,5194094.64
111,000063.SZ,20190307,30.67,31.12,30.0,30.4,31.3,-0.9000000000000021,-2.8754,1688287.7,5146121.98
112,000063.SZ,20190306,32.43,32.87,30.55,31.3,31.65,-0.34999999999999787,-1.1058,2140882.01,6751041.464
113,000063.SZ,20190305,30.22,31.7,29.65,31.65,30.31,1.3399999999999999,4.421,1906566.5,5891722.08
114,000063.SZ,20190304,30.11,31.55,29.9,30.31,29.73,0.5799999999999983,1.9509,2159491.22,6625920.756
115,000063.SZ,20190301,30.03,30.15,28.8,29.73,29.8,-0.07000000000000028,-0.2349,1235940.69,3639214.295
116,000063.SZ,20190228,29.47,30.22,29.12,29.8,29.45,0.3500000000000014,1.1885,1421570.68,4227512.292
117,000063.SZ,20190227,29.38,30.84,28.92,29.45,29.9,-0.4499999999999993,-1.505,1972814.11,5845175.619
118,000063.SZ,20190226,30.18,32.78,28.6,29.9,30.31,-0.41000000000000014,-1.3527,3239619.47,9695547.253
119,000063.SZ,20190225,30.6,30.6,29.1,30.31,27.84,2.469999999999999,8.8721,3190504.39,9535512.45
120,000063.SZ,20190222,25.5,27.84,25.32,27.84,25.31,2.530000000000001,9.996,2098379.85,5639532.742
121,000063.SZ,20190221,23.96,26.3,23.85,25.31,24.0,1.3099999999999987,5.4583,1821326.52,4578937.393
122,000063.SZ,20190220,24.07,24.25,23.42,24.0,24.06,-0.05999999999999872,-0.2494,994730.05,2367535.04
123,000063.SZ,20190219,24.46,24.88,23.62,24.06,24.14,-0.08000000000000185,-0.3314,1341400.03,3249401.362
124,000063.SZ,20190218,23.45,24.15,23.25,24.14,23.0,1.1400000000000006,4.9565,1493215.72,3542446.872
125,000063.SZ,20190215,22.75,23.7,22.55,23.0,22.85,0.14999999999999858,0.6565,1372753.9,3181426.148
126,000063.SZ,20190214,22.7,23.12,22.55,22.85,22.95,-0.09999999999999787,-0.4357,1311908.4,2993458.435
127,000063.SZ,20190213,21.11,23.17,20.95,22.95,21.06,1.8900000000000006,8.9744,2412237.75,5425809.897
128,000063.SZ,20190212,20.93,21.13,20.6,21.06,20.87,0.18999999999999773,0.9104,837727.98,1748096.742
129,000063.SZ,20190211,20.2,20.99,20.16,20.87,20.41,0.46000000000000085,2.2538,912809.7,1892104.759
130,000063.SZ,20190201,20.22,20.53,19.9,20.41,20.11,0.3000000000000007,1.4918,705106.37,1431662.951
131,000063.SZ,20190131,19.76,20.38,19.76,20.11,19.71,0.3999999999999986,2.0294,723098.9,1455730.506
132,000063.SZ,20190130,19.98,20.14,19.68,19.71,19.98,-0.2699999999999996,-1.3514,429831.02,855841.38
133,000063.SZ,20190129,20.1,20.2,19.7,19.98,20.24,-0.259999999999998,-1.2846,569530.24,1138035.224
134,000063.SZ,20190128,20.35,20.55,20.12,20.24,20.32,-0.08000000000000185,-0.3937,484500.74,984143.469
135,000063.SZ,20190125,20.4,20.67,20.2,20.32,20.37,-0.05000000000000071,-0.2455,508649.61,1039203.431
136,000063.SZ,20190124,20.5,20.72,20.12,20.37,20.45,-0.0799999999999983,-0.3912,665691.35,1361121.122
137,000063.SZ,20190123,20.36,20.69,20.08,20.45,20.44,0.00999999999999801,0.0489,594125.82,1208834.458
138,000063.SZ,20190122,21.0,21.09,20.24,20.44,21.04,-0.5999999999999979,-2.8517,1081594.91,2228177.094
139,000063.SZ,20190121,20.06,21.16,20.01,21.04,19.98,1.0599999999999987,5.3053,1855824.42,3857031.667
140,000063.SZ,20190118,19.85,20.08,19.67,19.98,20.01,-0.030000000000001137,-0.1499,708480.56,1408714.561
141,000063.SZ,20190117,20.24,20.48,19.9,20.01,20.31,-0.29999999999999716,-1.4771,643691.44,1294498.777
142,000063.SZ,20190116,20.55,20.61,20.22,20.31,20.6,-0.2900000000000027,-1.4078,615087.09,1253685.527
143,000063.SZ,20190115,20.07,20.8,19.9,20.6,20.09,0.5100000000000016,2.5386,975654.98,1985090.241
144,000063.SZ,20190114,20.2,20.47,19.9,20.09,20.51,-0.4200000000000017,-2.0478,762049.61,1533016.23
145,000063.SZ,20190111,20.29,21.27,20.29,20.51,20.07,0.4400000000000013,2.1923,1518342.99,3141167.857
146,000063.SZ,20190110,19.9,20.35,19.78,20.07,19.92,0.14999999999999858,0.753,849049.64,1704608.232
147,000063.SZ,20190109,19.95,20.35,19.79,19.92,19.9,0.020000000000003126,0.1005,984072.44,1981761.729
148,000063.SZ,20190108,19.92,20.26,19.73,19.9,20.02,-0.120000000000001,-0.5994,830617.2,1660115.078
149,000063.SZ,20190107,19.45,20.15,19.2,20.02,19.2,0.8200000000000003,4.2708,1248492.76,2470029.122
150,000063.SZ,20190104,18.51,19.27,18.24,19.2,18.78,0.41999999999999815,2.2364,771891.45,1459623.167
151,000063.SZ,20190103,19.59,19.6,18.72,18.78,19.56,-0.7799999999999976,-3.9877,948600.12,1810713.994
152,000063.SZ,20190102,19.6,20.06,19.4,19.56,19.59,-0.030000000000001137,-0.1531,649682.72,1280972.083
153,000063.SZ,20181228,19.73,19.87,19.01,19.59,19.9,-0.3099999999999987,-1.5578,738372.64,1443105.049
154,000063.SZ,20181227,20.22,20.46,19.9,19.9,19.86,0.03999999999999915,0.2014,817252.68,1647413.205
155,000063.SZ,20181226,20.22,20.33,19.72,19.86,20.36,-0.5,-2.4558,832376.18,1666645.324
156,000063.SZ,20181225,19.97,20.65,19.7,20.36,20.26,0.09999999999999787,0.4936,1354727.7,2732447.08
157,000063.SZ,20181224,19.36,20.26,19.22,20.26,19.24,1.0200000000000031,5.3015,1457014.9,2900552.558
158,000063.SZ,20181221,19.23,19.53,19.04,19.24,19.36,-0.120000000000001,-0.6198,640819.04,1233241.738
159,000063.SZ,20181220,18.99,19.36,18.86,19.36,19.02,0.33999999999999986,1.7876,695235.22,1330913.478
