ts_code,start_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000046.SZ,2016-09-08,9.7123,6.79861,True,2017-11-17
000046.SZ,2016-09-12,9.5258,6.66806,True,2018-04-27
000046.SZ,2016-09-12,9.5258,6.66806,True,2018-04-27
000046.SZ,2016-09-08,9.7123,6.79861,True,2017-11-17
000046.SZ,2017-08-29,7.8661,5.50627,True,2018-06-27
000046.SZ,2018-06-15,6.289,4.402299999999999,True,2019-08-13
000046.SZ,2016-11-28,9.619,6.7333,True,2017-11-17
000046.SZ,2017-11-20,6.5741,4.601869999999999,True,2018-07-04
000046.SZ,2017-11-21,7.0681,4.94767,True,2018-07-03
000046.SZ,2017-11-28,7.2486,5.074019999999999,True,2018-07-02
000046.SZ,2017-11-03,7.3436,5.1405199999999995,True,2018-07-02
000046.SZ,2017-10-23,7.7046,5.3932199999999995,True,2018-06-28
000046.SZ,2017-08-22,7.7616,5.43312,True,2018-06-27
000046.SZ,2017-08-29,7.8661,5.50627,True,2018-06-27
000046.SZ,2017-08-16,7.6476,5.353319999999999,True,2018-07-02
000046.SZ,2017-07-24,7.9801,5.586069999999999,True,2018-06-27
000046.SZ,2017-07-25,8.0086,5.606019999999999,True,2018-06-27
000046.SZ,2017-05-24,7.7438,5.42066,True,2018-06-27
000046.SZ,2017-05-25,7.7904,5.4532799999999995,True,2018-06-27
000046.SZ,2017-04-18,8.6861,6.08027,True,2018-06-19
000046.SZ,2017-04-19,8.3968,5.87776,True,2018-06-21
000046.SZ,2017-04-17,8.6487,6.0540899999999995,True,2018-06-19
000046.SZ,2017-03-07,8.77,6.138999999999999,True,2018-06-19
000046.SZ,2016-12-16,8.7141,6.09987,True,2018-06-19
000046.SZ,2016-09-08,9.7123,6.79861,True,2017-11-17
000046.SZ,2016-02-02,8.9997,6.29979,True,2018-06-19
000048.SZ,2017-03-16,32.82,22.974,True,2017-11-16
000048.SZ,2017-03-16,32.82,22.974,True,2017-11-16
000048.SZ,2017-03-16,32.82,22.974,True,2017-11-16
000048.SZ,2017-05-08,27.0,18.9,True,2018-07-04
000048.SZ,2017-03-10,32.7,22.89,True,2017-11-16
000055.SZ,2017-03-15,8.958,6.2706,True,2017-11-23
000055.SZ,2018-03-05,7.7754,5.44278,True,2018-06-19
000056.SZ,2017-03-16,12.7636,8.93452,True,2018-10-17
000056.SZ,2018-08-14,10.2884,7.201879999999999,True,2018-10-19
000056.SZ,2018-06-04,9.5926,6.714819999999999,True,2018-10-22
000056.SZ,2018-06-01,9.6423,6.74961,True,2018-10-22
000056.SZ,2018-06-05,9.6423,6.74961,True,2018-10-22
000056.SZ,2018-06-06,9.4534,6.61738,True,2018-10-22
000056.SZ,2018-06-07,9.4733,6.63131,True,2018-10-22
000056.SZ,2018-06-08,9.4336,6.60352,True,2018-10-22
000056.SZ,2018-06-12,9.5031,6.65217,True,2018-10-22
000056.SZ,2016-07-29,12.1175,8.482249999999999,True,2018-10-18
000056.SZ,2018-05-07,9.861,6.9027,True,2018-10-22
000056.SZ,2018-05-09,9.9405,6.958349999999999,True,2018-10-22
000056.SZ,2018-05-04,9.8312,6.88184,True,2018-10-22
000056.SZ,2018-05-03,9.7815,6.847049999999999,True,2018-10-22
000056.SZ,2018-04-25,10.2686,7.188019999999999,True,2018-10-19
000056.SZ,2018-04-23,10.3083,7.2158099999999985,True,2018-10-19
000056.SZ,2018-04-24,10.2984,7.20888,True,2018-10-19
000056.SZ,2017-10-18,12.8929,9.02503,True,2018-10-17
000056.SZ,2016-07-21,12.5847,8.809289999999999,True,2018-10-17
000056.SZ,2017-08-04,13.1811,9.22677,True,2018-10-17
000056.SZ,2017-06-16,11.6404,8.14828,True,2018-10-18
000056.SZ,2017-06-15,11.4813,8.036909999999999,True,2018-10-18
000056.SZ,2017-05-02,11.6105,8.12735,True,2018-10-18
000056.SZ,2017-03-16,12.7636,8.93452,True,2018-10-17
000056.SZ,2017-03-09,12.5449,8.78143,True,2018-10-17
000056.SZ,2017-01-24,12.8233,8.97631,True,2018-10-17
000060.SZ,2018-01-05,7.1429,5.00003,True,2018-06-19
000060.SZ,2018-01-05,7.1429,5.00003,True,2018-06-19
000068.SZ,2017-01-06,8.49,5.943,True,2017-11-20
000069.SZ,2017-06-12,8.3953,5.87671,True,2018-08-06
000078.SZ,2017-06-20,5.9618,4.17326,True,2018-07-11
000078.SZ,2018-04-09,5.8961,4.127269999999999,True,2018-08-02
000078.SZ,2017-01-19,5.7556,4.02892,True,2018-08-17
000078.SZ,2017-01-19,5.7556,4.02892,True,2018-08-17
000078.SZ,2017-01-19,5.7556,4.02892,True,2018-08-17
000078.SZ,2018-04-09,5.8961,4.127269999999999,True,2018-08-02
000078.SZ,2017-06-20,5.9618,4.17326,True,2018-07-11
000078.SZ,2016-06-23,7.0422,4.92954,True,2018-06-19
000078.SZ,2017-06-14,6.0011,4.2007699999999994,True,2018-07-11
000078.SZ,2016-12-28,6.1877,4.33139,True,2018-07-11
000078.SZ,2016-09-30,6.6887,4.68209,True,2018-06-19
000078.SZ,2016-08-08,6.561,4.5927,True,2018-07-05
000078.SZ,2016-07-01,7.2092,5.04644,True,2018-06-19
000100.SZ,2017-12-25,3.6146,2.53022,True,2018-10-11
000100.SZ,2017-03-15,3.247,2.2729,True,2018-10-18
000100.SZ,2016-03-30,3.4086,2.38602,True,2018-10-15
000150.SZ,2018-01-15,14.4544,10.118079999999999,True,2018-10-19
000150.SZ,2018-01-15,14.4544,10.118079999999999,True,2018-10-19
000150.SZ,2018-10-22,8.8701,6.2090700000000005,True,2019-05-17
000150.SZ,2018-10-23,8.1773,5.7241100000000005,True,2019-06-04
000150.SZ,2018-10-19,9.5628,6.693959999999999,True,2019-05-17
000150.SZ,2018-10-11,10.5341,7.37387,True,2018-10-25
000150.SZ,2016-11-08,15.6499,10.95493,True,2018-10-18
000150.SZ,2017-11-28,14.0529,9.837029999999999,True,2018-10-19
000150.SZ,2017-07-05,12.33,8.631,True,2018-10-23
000150.SZ,2017-06-14,12.7559,8.929129999999999,True,2018-10-23
000150.SZ,2016-11-23,16.4163,11.491409999999998,True,2018-09-06
000150.SZ,2016-09-05,16.0331,11.22317,True,2018-10-16
000155.SZ,2016-01-22,6.62,4.6339999999999995,True,2018-09-11
000158.SZ,2017-08-17,10.5075,7.35525,True,2018-02-05
000158.SZ,2017-08-17,10.5075,7.35525,True,2018-02-05
000158.SZ,2017-08-17,10.5075,7.35525,True,2018-02-05
000158.SZ,2018-05-15,7.769,5.4383,True,2018-08-24
000158.SZ,2018-05-23,8.9299,6.250929999999999,True,2018-07-11
000158.SZ,2018-05-15,7.769,5.4383,True,2018-08-24
000158.SZ,2018-05-15,7.769,5.4383,True,2018-08-24
000158.SZ,2018-05-23,8.9299,6.250929999999999,True,2018-07-11
000158.SZ,2018-05-15,7.769,5.4383,True,2018-08-24
000158.SZ,2018-03-13,7.9377,5.55639,True,2018-08-15
000158.SZ,2017-03-20,9.0839,6.3587299999999995,True,2018-07-11
000158.SZ,2018-03-13,7.9377,5.55639,True,2018-08-15
000158.SZ,2018-03-13,7.9377,5.55639,True,2018-08-15
000158.SZ,2017-03-14,9.0459,6.332129999999999,True,2018-07-11
000158.SZ,2017-12-25,7.7888,5.45216,True,2018-08-23
000158.SZ,2016-11-21,9.7453,6.8217099999999995,True,2018-06-19
000158.SZ,2018-08-01,5.94,4.158,True,2018-10-16
000158.SZ,2018-04-27,7.9476,5.56332,True,2018-08-15
000158.SZ,2018-03-14,7.8583,5.5008099999999995,True,2018-08-20
000158.SZ,2018-03-08,7.6698,5.36886,True,2018-08-24
000158.SZ,2017-12-25,7.7888,5.45216,True,2018-08-23
000158.SZ,2017-05-02,11.1592,7.811439999999999,True,2017-12-25
000158.SZ,2017-03-20,9.0839,6.3587299999999995,True,2018-07-11
