ts_code,start_date,pledge_price,forcast_close_line,close_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
000009.SZ,2017/5/3,7.0214,4.91498,2018/2/1,1.6416,0.8266,0.7524,0.5532,4.0205,0.4376,4.6024,33.7151,2.8125,63.3121,-20.8994,-29.9513,25.3737,9.6332,9.5413,-2.8839,11.4069,-3.2537,11.1925,-223.7768,-131.5498,-189.2332,-131.0696,2020831899
000009.SZ,2017/1/4,8.6157,6.03099,2017/5/23,1.4112,0.6977,0.6024,0.24,1.8699,0.1953,7.4243,34.7911,1.778,62.3457,12.9797,10.3392,12.1459,5.1445,5.1792,18.1944,32.0579,18.2329,32.0455,56.958,54.4113,39.0225,47.4947,4873115455
000009.SZ,2016/10/28,8.624,6.0368,2017/5/23,1.4112,0.6977,0.6024,0.24,1.8699,0.1953,7.4243,34.7911,1.778,62.3457,12.9797,10.3392,12.1459,5.1445,5.1792,18.1944,32.0579,18.2329,32.0455,56.958,54.4113,39.0225,47.4947,4873115455
000009.SZ,2016/7/13,8.6066,6.02462,2017/5/23,1.4112,0.6977,0.6024,0.24,1.8699,0.1953,7.4243,34.7911,1.778,62.3457,12.9797,10.3392,12.1459,5.1445,5.1792,18.1944,32.0579,18.2329,32.0455,56.958,54.4113,39.0225,47.4947,4873115455
000012.SZ,2016/7/12,7.5463,5.28241,2018/5/30,0.8073,0.7134,0.6678,5.8584,8.1319,0.9881,6.5632,25.0709,4.0914,55.5832,-10.007,-12.5271,5.0669,10.6553,10.6553,6.8501,8.071,6.8501,8.071,-17.6178,24.8394,-10.6779,25.803,10609963011
000014.SZ,2017/11/14,15.7313,11.01191,2017/12/20,2.1243,0.3795,0.241,0.331,613.7714,0.3362,2.1414,19.3196,1.0332,47.6437,-101.3534,-59.439,-18.4403,-17.3363,-17.3363,-81.1253,-32.8108,-81.1253,-32.8108,-91.6867,305.8268,-88.9483,246.7975,67735965.8
000018.SZ,2018/6/22,3.9297,2.75079,2018/8/31,1.2523,1.151,1.1197,2.0152,0.2956,0.1645,9.015,17.3134,6.6099,78.9463,-105.0486,-51.7854,-5.5047,-47.5396,-47.5396,-66.2364,-28.1462,-66.2364,-28.1462,-140.3203,-225.0977,-142.012,-134.6084,2259055189
000018.SZ,2018/6/29,3.12,2.184,2018/10/12,1.1107,1.0191,0.9871,3.0193,0.4134,0.2359,1.0345,12.7656,1.2028,79.9896,-134.5749,-93.8481,-5.7591,-51.7832,-51.7832,-59.5161,1.2893,-59.5161,1.2893,-192.305,-87.6044,-182.8683,-58.0841,2426987687
000018.SZ,2018/2/1,5.1046,3.57322,2018/6/27,1.2523,1.151,1.1197,2.0152,0.2956,0.1645,9.015,17.3134,6.6099,78.9463,-105.0486,-51.7854,-5.5047,-47.5396,-47.5396,-66.2364,-28.1462,-66.2364,-28.1462,-140.3203,-225.0977,-142.012,-134.6084,2259055189
000018.SZ,2017/12/25,5.9636,4.17452,2018/6/22,1.2523,1.151,1.1197,2.0152,0.2956,0.1645,9.015,17.3134,6.6099,78.9463,-105.0486,-51.7854,-5.5047,-47.5396,-47.5396,-66.2364,-28.1462,-66.2364,-28.1462,-140.3203,-225.0977,-142.012,-134.6084,2259055189
000018.SZ,2017/10/18,7.7408,5.41856,2018/2/1,1.2424,1.1737,1.1439,10.9837,1.3777,0.7397,5.911,24.7921,19.3459,80.6291,-8.6467,-8.9586,46.1005,39.2739,39.2739,26.5834,9.1434,26.5834,9.1434,-96.7659,-95.8414,-123.4596,-127.6009,923442740.9
