,ts_code,start_date,is_release,release_date
1045,000078.SZ,2017-01-19,1.0,20190108
1046,000078.SZ,2017-01-19,0.0,
1047,000078.SZ,2019-01-08,0.0,
1048,000078.SZ,2018-04-09,0.0,
1049,000078.SZ,2016-12-09,1.0,20180409
1050,000078.SZ,2017-06-20,0.0,
1051,000078.SZ,2016-06-23,1.0,20170615
1052,000078.SZ,2016-06-23,0.0,
1054,000078.SZ,2017-06-14,0.0,
1055,000078.SZ,2016-07-01,1.0,20170614
1058,000078.SZ,2016-12-28,0.0,
1059,000078.SZ,2016-07-04,1.0,20161216
1060,000078.SZ,2016-09-30,0.0,
1061,000078.SZ,2016-07-04,1.0,20160930
1063,000078.SZ,2016-08-08,0.0,
1065,000078.SZ,2016-07-01,0.0,
1093,000100.SZ,2017-12-25,0.0,
1094,000100.SZ,2018-05-31,0.0,
1097,000100.SZ,2017-05-08,1.0,20171213
1098,000100.SZ,2017-05-08,0.0,
1099,000100.SZ,2017-05-09,0.0,
1100,000100.SZ,2017-03-15,0.0,
1103,000100.SZ,2016-03-30,0.0,
1112,000150.SZ,2018-01-15,1.0,20181107
1113,000150.SZ,2018-01-15,0.0,
1114,000150.SZ,2018-10-22,1.0,20181106
1115,000150.SZ,2018-10-22,0.0,
1116,000150.SZ,2018-10-23,0.0,
1117,000150.SZ,2018-10-19,0.0,
1126,000150.SZ,2018-10-11,0.0,
1127,000150.SZ,2016-11-08,1.0,20181017
1128,000150.SZ,2016-11-08,0.0,
1130,000150.SZ,2016-12-27,1.0,20171226
1131,000150.SZ,2017-11-28,0.0,
1132,000150.SZ,2016-11-08,1.0,20171128
1134,000150.SZ,2016-12-01,1.0,20171128
1137,000150.SZ,2017-07-05,0.0,
1138,000150.SZ,2016-06-01,1.0,20170707
1140,000150.SZ,2016-12-12,1.0,20170706
1141,000150.SZ,2016-06-14,1.0,20170615
1142,000150.SZ,2017-06-14,0.0,
1144,000150.SZ,2016-06-14,1.0,20161212
