ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line
000046.SZ,2018-10-22,2019-04-15,4.8519,3.3963299999999994,False
000046.SZ,2018-11-22,2019-04-02,5.3975,3.77825,False
000046.SZ,2018-11-22,2019-04-01,5.3975,3.77825,False
000046.SZ,2018-07-05,2018-10-18,4.275,2.9925,False
000046.SZ,2018-07-05,2018-11-16,4.275,2.9925,False
000046.SZ,2018-09-06,,5.2709,3.6896299999999997,False
000046.SZ,2018-09-10,,5.1345,3.59415,False
000046.SZ,2018-10-08,,4.9006,3.43042,False
000046.SZ,2018-10-09,,4.8227,3.37589,False
000046.SZ,2018-10-12,,4.2966,3.0076199999999997,False
000046.SZ,2018-10-22,,4.8519,3.3963299999999994,False
000046.SZ,2018-11-16,,5.2709,3.6896299999999997,False
000046.SZ,2018-11-22,,5.3975,3.77825,False
000046.SZ,2018-11-29,,4.8032,3.36224,False
000046.SZ,2018-06-19,2018-10-18,5.8995,4.12965,False
000046.SZ,2018-06-19,2018-11-16,5.8995,4.12965,False
000046.SZ,2018-06-29,2018-07-25,5.301,3.7106999999999997,False
000046.SZ,2018-07-03,,4.7975,3.35825,False
000046.SZ,2018-07-03,2018-07-24,4.7975,3.35825,False
000046.SZ,2018-07-05,,4.275,2.9925,False
000046.SZ,2018-07-06,2018-07-25,4.388999999999999,3.0722999999999994,False
000046.SZ,2018-07-12,,5.2155,3.6508499999999993,False
000046.SZ,2018-07-26,,6.099,4.269299999999999,False
000046.SZ,2018-06-28,2018-07-24,5.263,3.6840999999999995,False
000046.SZ,2018-06-29,,5.301,3.7106999999999997,False
000046.SZ,2018-06-28,,5.263,3.6840999999999995,False
000046.SZ,2018-06-19,,5.8995,4.12965,False
000046.SZ,2018-06-20,,5.662000000000001,3.9634000000000005,False
000046.SZ,2018-06-21,,5.7855,4.049849999999999,False
000046.SZ,2018-06-25,,5.776,4.0432,False
000046.SZ,2016-01-26,2018-02-05,8.4211,5.894769999999999,False
000046.SZ,2017-05-16,2017-12-06,7.893,5.525099999999999,False
000046.SZ,2017-11-21,2017-12-06,7.0681,4.94767,False
000046.SZ,2017-05-17,2017-11-03,7.977,5.5839,False
000046.SZ,2017-05-17,2017-08-23,7.977,5.5839,False
000046.SZ,2017-05-16,2017-07-21,7.893,5.525099999999999,False
000046.SZ,2016-04-25,2017-04-28,9.0272,6.31904,False
000048.SZ,2019-04-29,,21.52,15.063999999999998,False
000048.SZ,2017-11-20,2019-04-22,22.55,15.785,False
000048.SZ,2017-12-18,2019-04-22,19.9,13.929999999999998,False
