ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000035.SZ,2016-08-11,2018-07-23,6.61,4.627,True,2018-07-16
000035.SZ,2016-08-08,2018-07-20,6.43,4.5009999999999994,True,2018-07-16
000035.SZ,2018-07-13,,4.62,3.234,False,
000035.SZ,2017-06-15,2018-07-10,6.87,4.809,False,
000035.SZ,2017-03-06,2018-03-06,7.52,5.263999999999999,False,
000035.SZ,2016-08-11,,6.61,4.627,True,2018-07-16
000035.SZ,2016-08-08,,6.43,4.5009999999999994,True,2018-07-16
000035.SZ,2017-03-10,,7.28,5.096,True,2018-07-11
000035.SZ,2017-03-10,2017-06-29,7.28,5.096,False,
000035.SZ,2017-06-30,,6.85,4.794999999999999,True,2018-07-12
000035.SZ,2017-06-15,,6.87,4.809,True,2018-07-12
000035.SZ,2017-02-20,,7.2,5.04,True,2018-07-11
000035.SZ,2016-12-16,,7.55,5.284999999999999,True,2018-07-11
000035.SZ,2016-03-01,2016-09-19,5.25,3.675,False,
000035.SZ,2016-07-13,2016-08-11,7.18,5.026,False,
000038.SZ,2019-04-04,2019-05-08,14.02,9.813999999999998,False,
000038.SZ,2019-04-04,,14.02,9.813999999999998,True,2019-05-28
000038.SZ,2017-03-02,,24.7632,17.33424,True,2018-08-24
000038.SZ,2017-03-02,2019-03-19,24.7632,17.33424,True,2018-08-24
000038.SZ,2017-03-02,2019-02-21,24.7632,17.33424,True,2018-08-24
000038.SZ,2019-02-21,,13.23,9.261,True,2019-05-28
000038.SZ,2018-12-14,2018-12-27,13.11,9.177,False,
000038.SZ,2018-12-14,,13.11,9.177,True,2019-05-28
000038.SZ,2018-10-12,,11.81,8.267,True,2019-05-30
000038.SZ,2018-10-08,,12.28,8.595999999999998,True,2019-05-30
000038.SZ,2016-09-26,2018-09-27,27.1353,18.994709999999998,True,2018-01-17
000038.SZ,2016-09-20,2018-09-14,27.8426,19.489819999999998,True,2017-05-11
000038.SZ,2017-03-02,2018-05-30,24.7632,17.33424,False,
000038.SZ,2016-07-04,2018-05-23,35.782,25.047399999999996,True,2017-01-16
000038.SZ,2016-09-19,,27.6231,19.33617,True,2018-01-15
000038.SZ,2016-09-19,2018-01-17,27.6231,19.33617,True,2018-01-15
000038.SZ,2016-09-19,2018-01-10,27.6231,19.33617,False,
000038.SZ,2016-12-08,,31.0988,21.76916,True,2017-04-24
000038.SZ,2016-09-22,,27.9585,19.57095,True,2017-05-11
000038.SZ,2016-09-26,,27.1353,18.994709999999998,True,2018-01-17
000038.SZ,2016-07-04,2016-09-23,35.782,25.047399999999996,False,
