,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
334,000881.SZ,2017-02-22,16.55,14.48,25.86,9.86,100.0,0.01,2017-11-16,0
335,000881.SZ,2016-11-15,15.53,13.59,24.26,5150.0,90.71,16.67,2017-11-17,0
336,000885.SZ,2017-03-24,16.87,14.76,26.35,12000.0,43.03,24.17,2017-11-24,0
337,000887.SZ,2018-04-19,10.22,8.95,15.98,15600.0,27.37,12.78,2019-08-09,0
338,000887.SZ,2017-07-12,13.56,11.86,21.18,8120.0,14.42,6.58,2018-08-20,0
339,000889.SZ,2016-10-27,10.59,9.27,16.54,11078.0,74.67,16.56,2019-07-22,0
340,000890.SZ,2016-12-28,7.57,6.63,11.83,7500.0,93.78,19.76,2017-11-17,0
341,000892.SZ,2018-02-06,4.61,4.03,7.2,1143.93,95.85,1.17,2018-10-11,0
342,000892.SZ,2017-07-31,6.05,5.3,9.46,978.93,100.0,1.0,2018-06-14,0
343,000892.SZ,2017-05-11,6.55,5.73,10.23,235.74,100.0,0.24,2018-06-04,0
344,000892.SZ,2017-04-26,6.55,5.73,10.23,235.74,100.0,0.24,2018-06-04,0
345,000892.SZ,2017-02-06,8.56,7.49,13.37,10550.46,98.92,10.76,2017-11-17,0
346,000892.SZ,2017-01-19,8.1,7.08,12.65,2293.58,100.0,2.34,2017-11-24,0
347,000892.SZ,2017-01-19,8.1,7.08,12.65,4793.58,93.55,4.89,2017-11-24,0
348,000892.SZ,2016-12-14,8.78,7.68,13.72,881.31,100.0,1.09,2017-11-17,0
349,000892.SZ,2016-12-14,8.78,7.68,13.72,5663.88,100.0,7.03,2017-11-17,0
350,000892.SZ,2016-12-14,8.78,7.68,13.72,4919.41,100.0,6.11,2017-11-17,0
351,000892.SZ,2016-07-22,10.12,8.85,15.81,1000.0,48.32,2.42,2017-08-08,0
352,000893.SZ,2017-05-08,8.73,7.64,13.64,16160.79,98.55,21.35,2017-11-21,1
353,000893.SZ,2017-03-08,9.41,8.24,14.71,3784.52,100.0,5.0,2017-07-17,1
354,000893.SZ,2017-02-27,9.29,8.13,14.52,16160.79,98.55,21.35,2017-07-17,1
355,000893.SZ,2016-01-05,9.92,8.68,15.5,16311.0,99.47,21.55,2017-07-11,1
356,000908.SZ,2017-06-19,5.33,4.66,8.33,2676.62,60.63,3.04,2018-06-28,0
357,000908.SZ,2017-05-12,5.02,4.4,7.85,4080.38,92.42,4.64,2018-07-04,0
358,000908.SZ,2017-05-12,5.02,4.4,7.85,4080.38,92.42,4.64,2018-07-04,0
359,000908.SZ,2017-05-12,5.02,4.4,7.85,2416.62,54.74,2.75,2018-07-04,0
360,000908.SZ,2017-05-12,5.02,4.4,7.85,2416.62,54.74,2.75,2018-07-04,0
361,000908.SZ,2017-05-12,5.02,4.4,7.85,4080.38,92.42,4.64,2018-07-04,0
362,000908.SZ,2017-05-11,5.02,4.39,7.84,8308.5,48.68,9.44,2018-07-04,0
363,000908.SZ,2017-05-11,5.02,4.39,7.84,8308.5,48.68,9.44,2018-07-04,0
364,000908.SZ,2017-04-25,5.54,4.85,8.66,3960.54,89.71,4.5,2018-06-19,0
365,000908.SZ,2017-04-25,5.54,4.85,8.66,3960.54,89.71,4.5,2018-06-19,0
366,000908.SZ,2017-03-01,6.61,5.79,10.33,10118.5,59.28,11.5,2018-01-31,0
367,000908.SZ,2017-01-18,6.12,5.35,9.56,3916.54,88.71,4.45,2018-02-02,0
368,000908.SZ,2017-01-18,6.12,5.35,9.56,3916.54,88.71,4.45,2018-02-02,0
369,000908.SZ,2017-01-18,6.12,5.35,9.56,3916.54,88.71,4.45,2018-02-02,0
370,000908.SZ,2017-01-17,6.13,5.36,9.58,2364.35,53.55,2.69,2018-02-01,0
371,000908.SZ,2016-12-26,6.69,5.85,10.45,8138.5,47.68,9.25,2018-01-31,0
372,000908.SZ,2016-11-11,7.43,6.5,11.61,13198.37,75.78,15.0,2017-11-17,0
373,000908.SZ,2016-07-12,7.82,6.84,12.22,2312.0,52.37,2.63,2017-11-13,0
374,000908.SZ,2016-07-12,7.82,6.84,12.22,2312.0,52.37,2.63,2017-11-13,0
