ts_code,forcast_close_line
000918.SZ,5.271
000922.SZ,5.516
000925.SZ,4.2349999999999985
000926.SZ,5.278
000931.SZ,4.137
000932.SZ,2.03399
000933.SZ,3.57511
000935.SZ,9.73
000936.SZ,3.61984
000937.SZ,2.70221
000938.SZ,19.7806
000949.SZ,2.2813
000950.SZ,3.7030000000000003
000959.SZ,3.08
000960.SZ,8.743
000961.SZ,6.698580000000001
000963.SZ,20.076420000000002
000967.SZ,5.23243
000972.SZ,1.7989999999999997
000975.SZ,8.143099999999999
000976.SZ,3.22
000976.SZ,3.22
000977.SZ,13.0081
000980.SZ,3.612
000989.SZ,7.52584
000990.SZ,10.83033
000996.SZ,6.0619999999999985
000997.SZ,10.21867
000998.SZ,11.60677
001696.SZ,4.00148
001979.SZ,14.36631
002002.SZ,4.36989
002003.SZ,5.30817
002004.SZ,3.31345
002006.SZ,4.039
002007.SZ,15.483649999999995
002008.SZ,24.121370000000002
002009.SZ,6.48697
002012.SZ,2.394
002014.SZ,4.69861
002015.SZ,4.137
002016.SZ,5.914929999999999
002019.SZ,8.768199999999998
002020.SZ,7.93933
002020.SZ,7.93933
002021.SZ,1.491
002022.SZ,8.593060000000001
002023.SZ,8.19
002024.SZ,9.29999
002029.SZ,5.14976
002031.SZ,1.7639999999999998
002033.SZ,4.03942
002034.SZ,9.72587
002035.SZ,8.666279999999999
002036.SZ,5.25686
002038.SZ,11.95635
002041.SZ,4.753
002042.SZ,3.41425
002043.SZ,4.68657
002044.SZ,9.797830000000001
002045.SZ,3.5038499999999995
002047.SZ,5.03531
002050.SZ,6.00117
002055.SZ,8.42184
002056.SZ,3.76649
002059.SZ,3.82186
002062.SZ,3.0555
002067.SZ,2.74183
002069.SZ,2.8
002071.SZ,2.919
002073.SZ,4.27
002074.SZ,9.52805
002075.SZ,5.9728900000000005
002076.SZ,2.226
002077.SZ,3.248
002078.SZ,5.06128
002083.SZ,4.69182
002085.SZ,6.416409999999999
002086.SZ,2.786
002087.SZ,3.06922
002089.SZ,1.855
002090.SZ,8.860949999999997
002092.SZ,6.23406
002093.SZ,5.6844199999999985
002094.SZ,4.018
002097.SZ,5.05134
002099.SZ,3.68746
002100.SZ,2.53057
002101.SZ,6.3266
002102.SZ,1.743
002103.SZ,3.661
002104.SZ,4.48
002108.SZ,2.95841
002111.SZ,8.575
002112.SZ,4.627
002114.SZ,5.837999999999999
002115.SZ,5.725999999999999
002117.SZ,5.850879999999999
002118.SZ,4.487
002119.SZ,6.02427
002120.SZ,21.35
002121.SZ,3.885
002121.SZ,3.885
002122.SZ,1.274
002123.SZ,9.562000000000001
002124.SZ,8.777999999999999
002125.SZ,4.7280099999999985
002126.SZ,6.278369999999999
002127.SZ,6.5379999999999985
002128.SZ,5.0539999999999985
002130.SZ,2.226
002131.SZ,1.4349999999999998
002132.SZ,2.667
002135.SZ,4.7247900000000005
002137.SZ,4.949
002138.SZ,13.054999999999998
